Text,Label
How crowded is Fernvale Square ActiveSG on Wed at 1000?,0
What's the typical traffic at Serangoon Central ActiveSG on Thur?,0
I'd like a rough idea of the traffic at Serangoon Central ActiveSG for 3pm.,0
Could you share the number of people at Delta Centre during 7pm?,0
How occupied is Jurong East on Wednesday?,0
Just wondering about what the crowd is like at Ang Mo Kio CC ActiveSG gym?,0
Do you have any idea how busy Hockey Village Boon Lay Gym gets on Wed?,0
Please provide the traffic at Bukit Canberra ActiveSG gym for weekends around 1300.,0
What kind of crowd level does Tampines ActiveSG usually have on Tuesday?,0
Give me the crowd of Ang Mo Kio CC Centre on weekend.,0
Could I get info on how packed Jalan Besar Centre usually is on Thurs.,0
What kind of crowd level does Toa Payoh West CC ActiveSG gym usually have on Wed?,0
What's the typical number of people at Pasir Ris ActiveSG on Wednesday?,0
I'd like a rough idea of the capacity at Enabling Village Gym for 1800.,0
How occupied is Bishan ActiveSG on Monday at 1600?,0
Could you share the capacity at Clementi ActiveSG?,0
Please provide the number of people at Yishun Gym for weekend around 1400.,0
How packed is Heartbeat Bedok on Tue?,0
I'm trying to check how packed Kallang Basin ActiveSG gym is.,0
I'd appreciate knowing the current crowd for Pasir Ris Centre.,0
Give me the traffic of Serangoon Central Centre on Tues.,0
What's the capacity at Jurong West?,0
Can you tell me how packed Choa Chu Kang Gym is?,0
Is it possible to know the typical crowd level for Serangoon Central Gym on Sunday at 1pm.,0
Could you show me how busy Enabling Village ActiveSG is on Sat at 2pm?,0
I'd appreciate knowing the crowd at Toa Payoh on Thur at 11am.,0
I'm trying to check how packed Tampines Gym is.,0
Could you share what the number of people is like at Clementi Centre around 6pm.,0
Give me the traffic at Serangoon Central.,0
How packed does Bishan ActiveSG gym tend to be at 1100?,0
Could you share how packed Yishun ActiveSG gym usually is on Wednesday.,0
Could you share the crowd at Bukit Canberra?,0
Give me the traffic at Bukit Canberra ActiveSG gym.,0
Can I find out the traffic at Bukit Canberra?,0
I'm trying to check how full Bukit Gombak Centre is.,0
Would you mind telling me how crowded Hockey Village Boon Lay ActiveSG is on weekend at 10am?,0
What's the estimated number of people at Yio Chu Kang Gym at 1000?,0
How packed is Delta Centre on Monday?,0
Could you share the traffic at Bukit Canberra Gym during 11am?,0
Just wondering about how full Clementi ActiveSG is on Tues at 11am?,0
I'd appreciate knowing how packed Yio Chu Kang ActiveSG gym usually is on weekends.,0
Could you share the traffic at Delta Gym during 2000?,0
How full does Jurong Lake Gardens Centre get around 1400?,0
Would you mind telling me the typical crowd level for Choa Chu Kang ActiveSG on Sat at 1pm.,0
What's the expected crowd at Senja-Cashew Gym at 0700?,0
I'm trying to check how busy Yio Chu Kang Gym is.,0
How packed does Senja-Cashew ActiveSG gym tend to be at 1000?,0
What's the usual traffic at Fernvale Square ActiveSG if I go on Thurs at 7am?,0
What's the usual crowd at Bukit Canberra ActiveSG if I go on Saturday at 8am?,0
Tell me the traffic at Jurong West Centre for Sat around 1200.,0
May I know the current traffic for Bukit Batok Gym.,0
What kind of crowd level does Toa Payoh West CC ActiveSG usually have on weekend?,0
How packed does Jurong East Centre tend to be at 11am?,0
Can you tell me what the traffic is like at Enabling Village ActiveSG on Tuesday.,0
Can I find out how packed Toa Payoh Gym is on Tues?,0
What's the usual traffic at Serangoon Central Centre if I go on Thur at 1400?,0
I'd appreciate knowing the current capacity for Yio Chu Kang Gym.,0
I'd appreciate knowing what the traffic is like at Tampines around 9am.,0
Just wondering about the typical crowd level for Enabling Village on Thur at 10pm.,0
Give me the crowd level of Kallang Basin Gym at 6pm.,0
What's the estimated number of people at Bukit Gombak Centre?,0
Do you know how packed Woodlands ActiveSG usually is on Sat.,0
How packed is Delta Centre on Thur?,0
